gene_name,log2FoldChange,padj
PTPN20,-25.7023688347681,1.19749228847618e-06
ENSG00000289328,-22.066548499901,0.0002437601579926
ENSG00000287514,-21.6371125663809,0.0003695845492901
ENSG00000263571,-21.3982444965163,0.0004244535884383
SPATA18,-9.05976241533397,0.0055713569146847
NPS,-7.42043155772001,0.012262007859164
VRK2,-7.01222029637188,0.0124048288743047
STK26,-6.16801380044196,0.0224165327709365
BRINP1,-5.94071923869214,0.0386943544037432
SLC24A3,-5.76614063211545,0.0005162760554231
MXRA5,-5.73165191556496,4.24135928165218e-15
GAS6-AS1,-5.68589821558264,0.0007891960174214
XIST,-5.27036032319541,0.0177325281259673
C3AR1,-5.22169484294835,0.009333386074226
DCN,-4.9115226123964,2.73228723402236e-08
ADA2,-4.50141718015364,0.0011872668056015
ENSG00000272070,-3.8624723904537,0.0004528419361602
RFLNA,-3.75741352301441,4.28483980910639e-05
KCNJ2-AS1,-3.72740751584323,0.0291892028883041
HGF,-3.65666029299882,0.0291892028883041
