#GSEA	GSE52778_raw_counts_GRCh38.p13_NCBI	Treatment:Albuterol_Dexamethasone:Untreated
Pathway	NES	pvalue	p.adjust	qvalue	minus.log.padj	collection
CHEN_LVAD_SUPPORT_OF_FAILING_HEART_UP	2.53795284624591	1e-10	1.86333333333333e-07	1.62701754385965e-07	6.78860776411271	c2.all.v2024.1.Hs.entrez
VECCHI_GASTRIC_CANCER_EARLY_DN	2.23635216650447	1e-10	1.86333333333333e-07	1.62701754385965e-07	6.78860776411271	c2.all.v2024.1.Hs.entrez
BOQUEST_STEM_CELL_CULTURED_VS_FRESH_UP	1.98179935958889	1e-10	1.86333333333333e-07	1.62701754385965e-07	6.78860776411271	c2.all.v2024.1.Hs.entrez
NAKAMURA_ADIPOGENESIS_EARLY_UP	2.41273811656874	8.79677590120069e-10	1.2293494321928e-06	1.07343815404915e-06	5.9692229723073	c2.all.v2024.1.Hs.entrez
MEBARKI_HCC_PROGENITOR_FZD8CRD_UP	-1.70216413690884	6.19617834037407e-09	6.92732738453821e-06	6.04877451880306e-06	5.21833260446021	c2.all.v2024.1.Hs.entrez
LI_WILMS_TUMOR_VS_FETAL_KIDNEY_1_DN	-2.03761222729767	2.70628786643733e-08	2.52135819556411e-05	2.20158891871401e-05	4.65726376937912	c2.all.v2024.1.Hs.entrez
HALLMARK_ADIPOGENESIS	1.98662932187852	1.43490263914482e-06	7.1745131957241e-05	4.9843986412399e-05	4.30238723104243	h.all.v2024.1.Hs.entrez
SARRIO_EPITHELIAL_MESENCHYMAL_TRANSITION_DN	2.13050537077621	2.23208026180467e-07	0.000178247552335544	0.000155641446225387	3.80787474237108	c2.all.v2024.1.Hs.entrez
WP_MAJOR_RECEPTORS_TARGETED_BY_EPINEPHRINE_AND_NOREPINEPHRINE	-2.12644624556427	3.51635766845152e-07	0.000242170335734249	0.000211457272723795	3.67477737341849	c2.all.v2024.1.Hs.entrez
MEBARKI_HCC_PROGENITOR_FZD8CRD_DN	1.86366510238941	3.89898572738504e-07	0.000242170335734249	0.000211457272723795	3.67477737341849	c2.all.v2024.1.Hs.entrez
WP_OVERVIEW_OF_PROINFLAMMATORY_AND_PROFIBROTIC_MEDIATORS	-2.28122224563518	6.38182233664437e-07	0.000297286557182017	0.000259583422587894	3.58572304572561	c2.all.v2024.1.Hs.entrez
WARTERS_RESPONSE_TO_IR_SKIN	-2.18662658997481	5.35879043196264e-07	0.000297286557182017	0.000259583422587894	3.58572304572561	c2.all.v2024.1.Hs.entrez
SCHAEFFER_PROSTATE_DEVELOPMENT_48HR_UP	1.82828280750113	6.12389868087971e-07	0.000297286557182017	0.000259583422587894	3.58572304572561	c2.all.v2024.1.Hs.entrez
WHITEFORD_PEDIATRIC_CANCER_MARKERS	-2.03060220329076	7.70307492135664e-07	0.000331232221618336	0.00028922395473952	3.53876573979953	c2.all.v2024.1.Hs.entrez
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	-2.06401383407441	1.56924463719376e-06	0.000548254845119569	0.000478722854122859	3.31991583890091	c2.all.v2024.1.Hs.entrez
HOSHIDA_LIVER_CANCER_SUBCLASS_S3	1.93413638115626	1.39857599005255e-06	0.000548254845119569	0.000478722854122859	3.31991583890091	c2.all.v2024.1.Hs.entrez
FLECHNER_BIOPSY_KIDNEY_TRANSPLANT_REJECTED_VS_OK_DN	1.69806466410613	1.50176350328176e-06	0.000548254845119569	0.000478722854122859	3.31991583890091	c2.all.v2024.1.Hs.entrez
KEGG_MEDICUS_REFERENCE_BRANCHING_MICROTUBULE_NUCLEATION	-2.23413887236929	2.14635196713619e-06	0.000679629334341389	0.000593435876723665	3.22662620154442	c2.all.v2024.1.Hs.entrez
SHEDDEN_LUNG_CANCER_GOOD_SURVIVAL_A4	2.04787792408004	2.18843077247675e-06	0.000679629334341389	0.000593435876723665	3.22662620154442	c2.all.v2024.1.Hs.entrez
GOCC_SYNAPTIC_MEMBRANE	-1.82958861161266	1.57417408679028e-07	0.00150554009660622	0.00141841370346576	2.84819708161553	c5.all.v2024.1.Hs.entrez
FURUKAWA_DUSP6_TARGETS_PCI35_UP	-2.12127549673527	6.63984774375423e-06	0.00190597279697708	0.00166424929094863	2.77878161940688	c2.all.v2024.1.Hs.entrez
FEKIR_HEPARG_SIDE_POP_VS_HEPARG_DN	2.09868455682819	7.16018403157757e-06	0.00190597279697708	0.00166424929094863	2.77878161940688	c2.all.v2024.1.Hs.entrez
BOCHKIS_FOXA2_TARGETS	1.71289364547897	7.08990297805063e-06	0.00190597279697708	0.00166424929094863	2.77878161940688	c2.all.v2024.1.Hs.entrez
FEKIR_HEPARG_SPHERE_VS_HEPARG_DN	2.19882549962684	8.83741909779586e-06	0.00213130186288924	0.00186100117469492	2.73025335273524	c2.all.v2024.1.Hs.entrez
NAKAYAMA_SOFT_TISSUE_TUMORS_PCA2_DN	2.15222230125221	9.53176146193755e-06	0.00213130186288924	0.00186100117469492	2.73025335273524	c2.all.v2024.1.Hs.entrez
