#GSEA	GSE52778_raw_counts_GRCh38.p13_NCBI	Treatment:Albuterol:Untreated
Pathway	NES	pvalue	p.adjust	qvalue	minus.log.padj	collection
VECCHI_GASTRIC_CANCER_EARLY_DN	2.3290476654163	1e-10	5.59e-07	5.00947368421053e-07	6.30020790049009	c2.all.v2024.1.Hs.entrez
CHEN_LVAD_SUPPORT_OF_FAILING_HEART_UP	2.3573528116269	2.54773314521072e-10	7.12091414086397e-07	6.38140107266202e-07	6.19508395900242	c2.all.v2024.1.Hs.entrez
BOQUEST_STEM_CELL_CULTURED_VS_FRESH_UP	1.95403884780009	1.05160617339302e-09	1.95949283642233e-06	1.75599781725523e-06	5.75547602826739	c2.all.v2024.1.Hs.entrez
SARRIO_EPITHELIAL_MESENCHYMAL_TRANSITION_DN	2.18357550058447	1.4584746927562e-07	0.000203821838312678	0.00018265476481123	3.73836899411052	c2.all.v2024.1.Hs.entrez
MEBARKI_HCC_PROGENITOR_FZD8CRD_UP	-1.62130414910901	3.36654543169519e-07	0.000376379779263522	0.000337292414935524	3.47199342515733	c2.all.v2024.1.Hs.entrez
GOBP_CELLULAR_RESPONSE_TO_HORMONE_STIMULUS	1.81796121360446	3.94883237281112e-08	0.000377666328135655	0.000365121511187083	3.43756257977378	c5.all.v2024.1.Hs.entrez
SHEDDEN_LUNG_CANCER_GOOD_SURVIVAL_A4	2.04857604624081	5.74998466553208e-07	0.000410324738698843	0.000367712161089878	3.43449200677272	c2.all.v2024.1.Hs.entrez
SABATES_COLORECTAL_ADENOMA_DN	2.03761199899468	5.87226817458094e-07	0.000410324738698843	0.000367712161089878	3.43449200677272	c2.all.v2024.1.Hs.entrez
FLECHNER_BIOPSY_KIDNEY_TRANSPLANT_REJECTED_VS_OK_DN	1.71779694633846	5.02158283902003e-07	0.000410324738698843	0.000367712161089878	3.43449200677272	c2.all.v2024.1.Hs.entrez
WARTERS_RESPONSE_TO_IR_SKIN	-2.16010152155398	7.67909369640423e-07	0.000476957041809996	0.000427424642119155	3.36914044326725	c2.all.v2024.1.Hs.entrez
NAKAMURA_ADIPOGENESIS_EARLY_UP	2.24654434009794	8.81452771667789e-07	0.000492732099362294	0.000441561446354422	3.3550088527754	c2.all.v2024.1.Hs.entrez
MEBARKI_HCC_PROGENITOR_FZD8CRD_DN	1.84515511262141	3.30889435657252e-06	0.00164722290508284	0.00147615738730614	2.83086733574157	c2.all.v2024.1.Hs.entrez
FISCHER_DIRECT_P53_TARGETS_META_ANALYSIS	-1.65095027337707	3.53607779266443e-06	0.00164722290508284	0.00147615738730614	2.83086733574157	c2.all.v2024.1.Hs.entrez
NAKAYAMA_SOFT_TISSUE_TUMORS_PCA2_DN	2.09517854585871	4.36097139589926e-06	0.00187521770023668	0.00168047472656555	2.7745680147004	c2.all.v2024.1.Hs.entrez
SAUL_SEN_MAYO	-1.97348266733712	5.0198152491706e-06	0.0020043405173474	0.00179618802787991	2.7456482026373	c2.all.v2024.1.Hs.entrez
TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_LOBULAR_NORMAL_DN	2.14658118593496	6.04279111213109e-06	0.00225194682112085	0.00201808020369346	2.69506157777734	c2.all.v2024.1.Hs.entrez
SCHAEFFER_PROSTATE_DEVELOPMENT_48HR_UP	1.82016488840952	8.19520252233266e-06	0.00269477541763762	0.00241492066896478	2.61709713141215	c2.all.v2024.1.Hs.entrez
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5	1.68447959417836	7.73516703678244e-06	0.00269477541763762	0.00241492066896478	2.61709713141215	c2.all.v2024.1.Hs.entrez
HOSHIDA_LIVER_CANCER_SUBCLASS_S3	1.86821447590827	9.52031028837269e-06	0.00295658525066685	0.00264954132528454	2.57682930234211	c2.all.v2024.1.Hs.entrez
SMID_BREAST_CANCER_LUMINAL_B_DN	1.7301771480717	1.01592215700639e-05	0.00298894992508721	0.00267854490038415	2.57210106916208	c2.all.v2024.1.Hs.entrez
PIONTEK_PKD1_TARGETS_UP	2.12378661518348	1.32841538907526e-05	0.00338832229159346	0.00303644210256912	2.51763499538267	c2.all.v2024.1.Hs.entrez
TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_DUCTAL_NORMAL_DN	1.93690502135133	1.33350787862355e-05	0.00338832229159346	0.00303644210256912	2.51763499538267	c2.all.v2024.1.Hs.entrez
FULCHER_INFLAMMATORY_RESPONSE_LECTIN_VS_LPS_UP	1.6443172858262	1.28414680368551e-05	0.00338832229159346	0.00303644210256912	2.51763499538267	c2.all.v2024.1.Hs.entrez
BONOME_OVARIAN_CANCER_SURVIVAL_SUBOPTIMAL_DEBULKING	1.66466745307729	1.49554571779903e-05	0.00363482633152024	0.00325734648558607	2.48713604285525	c2.all.v2024.1.Hs.entrez
FURUKAWA_DUSP6_TARGETS_PCI35_UP	-2.11123371114314	1.608110917663e-05	0.0037455583457234	0.00335657888471851	2.47410314177703	c2.all.v2024.1.Hs.entrez
