#Over-representation	GSE52778_raw_counts_GRCh38.p13_NCBI	Treatment:Albuterol:Untreated
Pathway	gene.ratio	p.value	p.adjust	minus.log.padj	collection
ONDER_CDH1_TARGETS_1_UP	0.0238095238095238	7.64727412703207e-06	0.00140236789529593	2.85313803919565	c2.all.v2024.1.Hs.entrez
SHEDDEN_LUNG_CANCER_GOOD_SURVIVAL_A4	0.0192307692307692	1.45323097958128e-05	0.00140236789529593	2.85313803919565	c2.all.v2024.1.Hs.entrez
GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_SINGLE_DONORS_WITH_INCORPORATION_OF_MOLECULAR_OXYGEN	0.153846153846154	1.01595900066531e-05	0.00388096338254149	2.41106045487276	c5.all.v2024.1.Hs.entrez
GOMF_TRANSCRIPTION_COREPRESSOR_BINDING	0.0444444444444444	0.000128282928501478	0.0245020393437823	1.61079776710925	c5.all.v2024.1.Hs.entrez
CHEN_LVAD_SUPPORT_OF_FAILING_HEART_UP	0.0222222222222222	0.000427020403036746	0.0274716459286973	1.56111531959885	c2.all.v2024.1.Hs.entrez
HALLMARK_P53_PATHWAY	0.0110497237569061	0.0076314698739909	0.0305258794959636	1.51533181453324	h.all.v2024.1.Hs.entrez
BYSTRYKH_HEMATOPOIESIS_STEM_CELL_AND_BRAIN_QTL_TRANS	0.0153846153846154	0.000888761705903777	0.0428827523098573	1.36771734844066	c2.all.v2024.1.Hs.entrez
TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_DUCTAL_NORMAL_DN	0.0134228187919463	0.00116541636465908	0.0449850716758407	1.34693158321197	c2.all.v2024.1.Hs.entrez
SHEDDEN_LUNG_CANCER_GOOD_SURVIVAL_A12	0.0118343195266272	0.00149604579377817	0.048122806366531	1.31764905394317	c2.all.v2024.1.Hs.entrez
GOMF_DIOXYGENASE_ACTIVITY	0.0253164556962025	0.00039703956114696	0.0505563707860462	1.29622410964981	c5.all.v2024.1.Hs.entrez
GRESHOCK_CANCER_COPY_NUMBER_UP	0.00769230769230769	0.00350079650112324	0.0553595338768455	1.25680757526311	c2.all.v2024.1.Hs.entrez
BIOCARTA_EGFR_SMRTE_PATHWAY	0.1	0.00366945153244091	0.0553595338768455	1.25680757526311	c2.all.v2024.1.Hs.entrez
SETLUR_PROSTATE_CANCER_TMPRSS2_ERG_FUSION_DN	0.1	0.00366945153244091	0.0553595338768455	1.25680757526311	c2.all.v2024.1.Hs.entrez
KIM_GERMINAL_CENTER_T_HELPER_DN	0.0909090909090909	0.00403580340347642	0.0553595338768455	1.25680757526311	c2.all.v2024.1.Hs.entrez
FERRANDO_LYL1_NEIGHBORS	0.0833333333333333	0.00440204750018747	0.0553595338768455	1.25680757526311	c2.all.v2024.1.Hs.entrez
HAHTOLA_MYCOSIS_FUNGOIDES_DN	0.0833333333333333	0.00440204750018747	0.0553595338768455	1.25680757526311	c2.all.v2024.1.Hs.entrez
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	0.0833333333333333	0.00440204750018747	0.0553595338768455	1.25680757526311	c2.all.v2024.1.Hs.entrez
KEGG_CIRCADIAN_RHYTHM_MAMMAL	0.0769230769230769	0.00476818384635558	0.0553595338768455	1.25680757526311	c2.all.v2024.1.Hs.entrez
KEGG_PHENYLALANINE_METABOLISM	0.0769230769230769	0.00476818384635558	0.0553595338768455	1.25680757526311	c2.all.v2024.1.Hs.entrez
HAHTOLA_SEZARY_SYNDROM_DN	0.0666666666666667	0.00550013338216659	0.0553595338768455	1.25680757526311	c2.all.v2024.1.Hs.entrez
PID_CIRCADIAN_PATHWAY	0.0666666666666667	0.00550013338216659	0.0553595338768455	1.25680757526311	c2.all.v2024.1.Hs.entrez
MATZUK_SPERMATOGONIA	0.0625	0.00586594661935425	0.0553595338768455	1.25680757526311	c2.all.v2024.1.Hs.entrez
WP_EICOSANOID_METABOLISM_VIA_LIPOOXYGENASES_LOX	0.0625	0.00586594661935425	0.0553595338768455	1.25680757526311	c2.all.v2024.1.Hs.entrez
ONDER_CDH1_TARGETS_3_UP	0.0588235294117647	0.00623165220108635	0.0553595338768455	1.25680757526311	c2.all.v2024.1.Hs.entrez
WP_EICOSANOID_SYNTHESIS	0.0588235294117647	0.00623165220108635	0.0553595338768455	1.25680757526311	c2.all.v2024.1.Hs.entrez
