#GSEA	GSE52778_raw_counts_GRCh38.p13_NCBI	Treatment:Dexamethasone:Untreated
Pathway	NES	pvalue	p.adjust	qvalue	minus.log.padj	collection
CHEN_LVAD_SUPPORT_OF_FAILING_HEART_UP	2.47778871914477	1e-10	5.59e-07	5.00421052631579e-07	6.30066442789669	c2.all.v2024.1.Hs.entrez
HALLMARK_ADIPOGENESIS	1.93775321531927	9.77598921348381e-08	4.88799460674191e-06	3.39586993731543e-06	5.46904895169896	h.all.v2024.1.Hs.entrez
CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_DN	1.85559737810567	7.0107670620263e-09	1.95950939383635e-05	1.754167716467e-05	4.75592888596771	c2.all.v2024.1.Hs.entrez
VECCHI_GASTRIC_CANCER_EARLY_DN	2.02603792245397	1.67558841347577e-08	3.12217974377652e-05	2.79499905882941e-05	4.55361833401915	c2.all.v2024.1.Hs.entrez
SHEDDEN_LUNG_CANCER_GOOD_SURVIVAL_A4	2.07280150427784	6.94286352878424e-08	9.70265178147597e-05	8.68588768837902e-05	4.06118579051979	c2.all.v2024.1.Hs.entrez
BOQUEST_STEM_CELL_CULTURED_VS_FRESH_UP	1.79680545222761	1.14214388812616e-07	0.000127691686692505	0.000114310569350564	3.9419136121383	c2.all.v2024.1.Hs.entrez
FEKIR_HEPARG_SPHERE_VS_HEPARG_DN	2.30148999154903	2.18328625084863e-07	0.000203409502370731	0.000182093733974288	3.73970499845116	c2.all.v2024.1.Hs.entrez
HOSHIDA_LIVER_CANCER_SUBCLASS_S3	1.89591989642497	3.4751858135778e-07	0.000277518409969998	0.000248436591845847	3.60478443721386	c2.all.v2024.1.Hs.entrez
FLECHNER_BIOPSY_KIDNEY_TRANSPLANT_REJECTED_VS_OK_DN	1.67462781737367	7.21695419326172e-07	0.000504284674254163	0.00045143947677324	3.34540046609311	c2.all.v2024.1.Hs.entrez
NAKAMURA_ADIPOGENESIS_EARLY_UP	2.21854717140322	8.49053434501378e-07	0.000527356522095856	0.000472093570481819	3.32597191425479	c2.all.v2024.1.Hs.entrez
WP_SELENIUM_MICRONUTRIENT_NETWORK	2.20587682585497	1.33578560607083e-06	0.000746704153793591	0.000668455239080074	3.17492766853867	c2.all.v2024.1.Hs.entrez
ZWANG_CLASS_3_TRANSIENTLY_INDUCED_BY_EGF	1.88681536560115	1.98420434276083e-06	0.00100410362036803	0.000898881199741947	3.04629770282277	c2.all.v2024.1.Hs.entrez
BOCHKIS_FOXA2_TARGETS	1.72263648795494	2.15549972172028e-06	0.00100410362036803	0.000898881199741947	3.04629770282277	c2.all.v2024.1.Hs.entrez
FURUKAWA_DUSP6_TARGETS_PCI35_UP	-2.12551926672002	2.6674592000802e-06	0.00114700745603448	0.00102680980058148	2.98850999477451	c2.all.v2024.1.Hs.entrez
TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_DUCTAL_NORMAL_DN	1.88795216442463	6.70242529212448e-06	0.00249777049219839	0.00223602314657963	2.65052370508804	c2.all.v2024.1.Hs.entrez
REN_ALVEOLAR_RHABDOMYOSARCOMA_DN	1.65400834058453	6.39016587751635e-06	0.00249777049219839	0.00223602314657963	2.65052370508804	c2.all.v2024.1.Hs.entrez
BAELDE_DIABETIC_NEPHROPATHY_DN	1.63209986811708	7.61862407562855e-06	0.00266175678642272	0.00238282492470646	2.62290786576395	c2.all.v2024.1.Hs.entrez
SMID_BREAST_CANCER_LUMINAL_B_DN	1.69517435612182	8.8080100492175e-06	0.00289628095147799	0.00259277274142291	2.58623554781658	c2.all.v2024.1.Hs.entrez
MEBARKI_HCC_PROGENITOR_FZD8CRD_UP	-1.56703256149973	9.62064685958554e-06	0.0029877453302824	0.00267465234915027	2.57273265949606	c2.all.v2024.1.Hs.entrez
GENTILE_UV_HIGH_DOSE_DN	1.74380042617127	1.14389766602581e-05	0.00336546734372856	0.0030127919691339	2.5210308549766	c2.all.v2024.1.Hs.entrez
SARRIO_EPITHELIAL_MESENCHYMAL_TRANSITION_DN	1.94987849228313	1.69281506093238e-05	0.004731418095306	0.00423560147351185	2.37308490928147	c2.all.v2024.1.Hs.entrez
BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_DN	-1.86664170226131	1.81621391709923e-05	0.00483458847456414	0.00432796038189962	2.36371672341007	c2.all.v2024.1.Hs.entrez
SMID_BREAST_CANCER_NORMAL_LIKE_UP	1.67087934757341	2.1800838931706e-05	0.00553939498310165	0.00495890853020719	2.30461390243538	c2.all.v2024.1.Hs.entrez
SCHAEFFER_PROSTATE_DEVELOPMENT_48HR_UP	1.66192449018307	2.36386764245106e-05	0.00574522613969626	0.00514317014746559	2.28876910801741	c2.all.v2024.1.Hs.entrez
WP_OVERVIEW_OF_PROINFLAMMATORY_AND_PROFIBROTIC_MEDIATORS	-2.07550898362855	2.49590792147737e-05	0.00581338553377437	0.00520418695557167	2.28364711020524	c2.all.v2024.1.Hs.entrez
