#Over-representation	GSE52778_raw_counts_GRCh38.p13_NCBI	Treatment:Dexamethasone:Untreated
Pathway	gene.ratio	p.value	p.adjust	minus.log.padj	collection
CHEN_LVAD_SUPPORT_OF_FAILING_HEART_UP	0.455555555555556	8.41128809864689e-13	4.65480683379119e-09	8.33209833675766	c2.all.v2024.1.Hs.entrez
CHICAS_RB1_TARGETS_CONFLUENT	0.251838235294118	5.10561701791449e-12	1.41272422885694e-08	7.84994260642773	c2.all.v2024.1.Hs.entrez
PICCALUGA_ANGIOIMMUNOBLASTIC_LYMPHOMA_UP	0.32972972972973	7.87330442903859e-11	1.45236222367665e-07	6.83792505572592	c2.all.v2024.1.Hs.entrez
PASINI_SUZ12_TARGETS_DN	0.284210526315789	3.16616253948541e-10	4.38038587337806e-07	6.3584876302956	c2.all.v2024.1.Hs.entrez
LU_AGING_BRAIN_UP	0.296610169491525	6.81499420497635e-10	7.54283558606782e-07	6.12246535865575	c2.all.v2024.1.Hs.entrez
CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_DN	0.253071253071253	1.83160477531507e-09	1.6893501377656e-06	5.77228032843965	c2.all.v2024.1.Hs.entrez
DUTERTRE_ESTRADIOL_RESPONSE_24HR_DN	0.246049661399549	3.39329425173733e-09	2.6826414841592e-06	5.57143736380032	c2.all.v2024.1.Hs.entrez
GOBP_VASCULATURE_DEVELOPMENT	0.242530755711775	2.96219178409495e-10	2.79956745514814e-06	5.55290906378404	c5.all.v2024.1.Hs.entrez
GOBP_TUBE_DEVELOPMENT	0.223470661672909	7.72233638104463e-10	2.86169508470112e-06	5.5433766424443	c5.all.v2024.1.Hs.entrez
GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT	0.220398593200469	9.08378505354286e-10	2.86169508470112e-06	5.5433766424443	c5.all.v2024.1.Hs.entrez
BOQUEST_STEM_CELL_CULTURED_VS_FRESH_UP	0.250632911392405	6.53510998755787e-09	4.52066233389315e-06	5.34479793092271	c2.all.v2024.1.Hs.entrez
NUYTTEN_EZH2_TARGETS_UP	0.209003215434084	7.96111326884441e-09	4.65511151999263e-06	5.33206991039966	c2.all.v2024.1.Hs.entrez
CUI_TCF21_TARGETS_2_DN	0.21762349799733	8.41183867002644e-09	4.65511151999263e-06	5.33206991039966	c2.all.v2024.1.Hs.entrez
ZWANG_CLASS_1_TRANSIENTLY_INDUCED_BY_EGF	0.246376811594203	1.01386412633711e-08	5.10065825013597e-06	5.29237377371488	c2.all.v2024.1.Hs.entrez
LIU_PROSTATE_CANCER_DN	0.243498817966903	1.65647637124334e-08	7.63911686538386e-06	5.11695684596092	c2.all.v2024.1.Hs.entrez
LIM_MAMMARY_STEM_CELL_UP	0.24455205811138	1.80549177509699e-08	7.68583960260517e-06	5.11430868315951	c2.all.v2024.1.Hs.entrez
GOBP_BLOOD_VESSEL_MORPHOGENESIS	0.245762711864407	3.66131618523962e-09	8.65077481667491e-06	5.06294499270438	c5.all.v2024.1.Hs.entrez
VECCHI_GASTRIC_CANCER_EARLY_DN	0.285067873303167	2.59736991442489e-08	1.02670322188767e-05	4.98855507512038	c2.all.v2024.1.Hs.entrez
MIYAGAWA_TARGETS_OF_EWSR1_ETS_FUSIONS_DN	0.281818181818182	5.32307465731806e-08	1.96385967690654e-05	4.70688954695759	c2.all.v2024.1.Hs.entrez
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.323529411764706	3.98180676360288e-07	1.99090338180144e-05	4.70094981569768	h.all.v2024.1.Hs.entrez
THUM_SYSTOLIC_HEART_FAILURE_UP	0.251479289940828	6.56592602840334e-08	2.27098966507401e-05	4.64378484218341	c2.all.v2024.1.Hs.entrez
NAGASHIMA_NRG1_SIGNALING_UP	0.309677419354839	7.49892898620481e-08	2.44112194174455e-05	4.61241052566105	c2.all.v2024.1.Hs.entrez
GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS	0.215496368038741	1.56129229913119e-08	2.95115470381777e-05	4.5300080235555	c5.all.v2024.1.Hs.entrez
CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_DN	0.233115468409586	9.93259360187822e-08	3.05372072182189e-05	4.51517068388659	c2.all.v2024.1.Hs.entrez
ONDER_CDH1_TARGETS_2_UP	0.269387755102041	1.3090824890941e-07	3.81287499718251e-05	4.41874743257678	c2.all.v2024.1.Hs.entrez
