#Over-representation	GSE52778_raw_counts_GRCh38.p13_NCBI	Treatment:Dexamethasone:Untreated
Pathway	gene.ratio	p.value	p.adjust	minus.log.padj	collection
CARRILLOREIXACH_HEPATOBLASTOMA_VS_NORMAL_UP	0.13150289017341	1.37024632468886e-13	6.33327851271189e-10	9.19837141298732	c2.all.v2024.1.Hs.entrez
CHICAS_RB1_TARGETS_CONFLUENT	0.136029411764706	6.13170210315458e-12	1.41703635603902e-08	7.8486190071805	c2.all.v2024.1.Hs.entrez
FISCHER_DIRECT_P53_TARGETS_META_ANALYSIS	0.147887323943662	2.42291973782455e-08	3.73291167607502e-05	4.42795228573591	c2.all.v2024.1.Hs.entrez
VERHAAK_GLIOBLASTOMA_PRONEURAL	0.194690265486726	5.18640612730332e-07	0.000599289228009899	3.22236352850726	c2.all.v2024.1.Hs.entrez
GOMF_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY	0.0985772357723577	1.28913683094221e-07	0.00102769988162713	2.98813369349532	c5.all.v2024.1.Hs.entrez
GOBP_NEURON_PROJECTION_GUIDANCE	0.174496644295302	4.23481283614073e-07	0.00168799639648569	2.77262848483599	c5.all.v2024.1.Hs.entrez
MACAEVA_PBMC_RESPONSE_TO_IR	0.206896551724138	2.23189351386072e-06	0.00174827708093871	2.75738973578261	c2.all.v2024.1.Hs.entrez
CHICAS_RB1_TARGETS_GROWING	0.141025641025641	2.26950724483606e-06	0.00174827708093871	2.75738973578261	c2.all.v2024.1.Hs.entrez
MIKKELSEN_NPC_ICP_WITH_H3K4ME3	0.11704834605598	5.20692265448754e-06	0.0031664108662135	2.49943273276108	c2.all.v2024.1.Hs.entrez
WARTERS_IR_RESPONSE_5GY	0.272727272727273	5.48058998911899e-06	0.0031664108662135	2.49943273276108	c2.all.v2024.1.Hs.entrez
SMIRNOV_RESPONSE_TO_IR_6HR_UP	0.158940397350993	7.01376506172876e-06	0.00360195801281226	2.44346135395686	c2.all.v2024.1.Hs.entrez
PICCALUGA_ANGIOIMMUNOBLASTIC_LYMPHOMA_UP	0.145945945945946	9.86518583633904e-06	0.0045596888935559	2.34106478812968	c2.all.v2024.1.Hs.entrez
MIYAGAWA_TARGETS_OF_EWSR1_ETS_FUSIONS_DN	0.136363636363636	1.27876883300378e-05	0.00468262585390113	2.32951054135897	c2.all.v2024.1.Hs.entrez
SCHAEFFER_PROSTATE_DEVELOPMENT_48HR_DN	0.122186495176849	1.29525062142709e-05	0.00468262585390113	2.32951054135897	c2.all.v2024.1.Hs.entrez
KRIGE_AMINO_ACID_DEPRIVATION	0.333333333333333	1.3807487075097e-05	0.00468262585390113	2.32951054135897	c2.all.v2024.1.Hs.entrez
WARTERS_RESPONSE_TO_IR_SKIN	0.208333333333333	1.41836352130281e-05	0.00468262585390113	2.32951054135897	c2.all.v2024.1.Hs.entrez
GOMF_SIGNALING_RECEPTOR_REGULATOR_ACTIVITY	0.143497757847534	1.95732992835241e-06	0.0052012780629418	2.28388992800305	c5.all.v2024.1.Hs.entrez
LI_WILMS_TUMOR_VS_FETAL_KIDNEY_1_DN	0.152317880794702	2.20529722214356e-05	0.00679525584049837	2.16779418749293	c2.all.v2024.1.Hs.entrez
TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_DUCTAL_NORMAL_UP	0.220338983050847	2.80423747842641e-05	0.00810074101580429	2.09147525218862	c2.all.v2024.1.Hs.entrez
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_3D_UP	0.152777777777778	3.15306003228254e-05	0.00820771364524584	2.08577780384763	c2.all.v2024.1.Hs.entrez
CHEBOTAEV_GR_TARGETS_DN	0.178947368421053	3.19642677659942e-05	0.00820771364524584	2.08577780384763	c2.all.v2024.1.Hs.entrez
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.127551020408163	0.000186406108955131	0.00913389933880141	2.03934377889543	h.all.v2024.1.Hs.entrez
HELLER_SILENCED_BY_METHYLATION_DN	0.183908045977011	3.82958205558463e-05	0.00931596224258534	2.03077228032092	c2.all.v2024.1.Hs.entrez
ONDER_CDH1_TARGETS_2_UP	0.126530612244898	4.09802507466916e-05	0.00947053594756042	2.02362544312113	c2.all.v2024.1.Hs.entrez
WP_CYTOKINECYTOKINE_RECEPTOR_INTERACTION	0.168224299065421	4.4661440036361e-05	0.00982977027847907	2.00745663150201	c2.all.v2024.1.Hs.entrez
