#Over-representation	GSE52778_raw_counts_GRCh38.p13_NCBI	Treatment:Dexamethasone:Untreated
Pathway	gene.ratio	p.value	p.adjust	minus.log.padj	collection
CHEN_LVAD_SUPPORT_OF_FAILING_HEART_UP	0.4	2.57186743726052e-16	1.34431510945608e-12	11.8714989200785	c2.all.v2024.1.Hs.entrez
CUI_TCF21_TARGETS_2_DN	0.168224299065421	1.56995731401062e-14	4.10308344016676e-11	10.3868896511453	c2.all.v2024.1.Hs.entrez
CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_DN	0.199017199017199	1.48992960249464e-13	2.5959540107465e-10	9.58570300565285	c2.all.v2024.1.Hs.entrez
LU_AGING_BRAIN_UP	0.228813559322034	7.48681120275869e-12	9.78339053920492e-09	8.0095106097028	c2.all.v2024.1.Hs.entrez
REN_ALVEOLAR_RHABDOMYOSARCOMA_DN	0.179802955665025	3.53147321987114e-10	3.69180210405329e-07	6.43276158701262	c2.all.v2024.1.Hs.entrez
ZWANG_CLASS_3_TRANSIENTLY_INDUCED_BY_EGF	0.226315789473684	1.48575386287258e-09	1.29433924020583e-06	5.88795188221409	c2.all.v2024.1.Hs.entrez
SENESE_HDAC1_TARGETS_UP	0.175572519083969	3.07645962418187e-09	2.29723635079981e-06	5.63879432018694	c2.all.v2024.1.Hs.entrez
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.252941176470588	6.55749671229655e-08	3.27874835614828e-06	5.48429191414186	h.all.v2024.1.Hs.entrez
ZWANG_CLASS_1_TRANSIENTLY_INDUCED_BY_EGF	0.171497584541063	5.06627047583019e-09	3.31017447214555e-06	5.48014911489705	c2.all.v2024.1.Hs.entrez
VECCHI_GASTRIC_CANCER_EARLY_DN	0.208144796380091	6.91463707554964e-09	4.01586755487756e-06	5.39622061885466	c2.all.v2024.1.Hs.entrez
SARRIO_EPITHELIAL_MESENCHYMAL_TRANSITION_DN	0.265486725663717	9.38245576158928e-09	4.47606125820464e-06	5.34910397846223	c2.all.v2024.1.Hs.entrez
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5	0.169047619047619	9.41968123976488e-09	4.47606125820464e-06	5.34910397846223	c2.all.v2024.1.Hs.entrez
PASINI_SUZ12_TARGETS_DN	0.189473684210526	1.14068679591771e-08	4.96864156855154e-06	5.303762331573	c2.all.v2024.1.Hs.entrez
LIM_MAMMARY_STEM_CELL_UP	0.167070217917676	2.48857446705895e-08	1.00059836456286e-05	4.99974021128861	c2.all.v2024.1.Hs.entrez
NAKAMURA_ADIPOGENESIS_EARLY_UP	0.345454545454545	5.0550533879698e-08	1.83099137080208e-05	4.73731370246066	c2.all.v2024.1.Hs.entrez
NAGASHIMA_NRG1_SIGNALING_UP	0.225806451612903	5.25442329482136e-08	1.83099137080208e-05	4.73731370246066	c2.all.v2024.1.Hs.entrez
DACOSTA_UV_RESPONSE_VIA_ERCC3_DN	0.137440758293839	6.38456612345458e-08	2.08575794545607e-05	4.68073609334589	c2.all.v2024.1.Hs.entrez
WP_FOCAL_ADHESION	0.219512195121951	7.32357478737605e-08	2.25178384785968e-05	4.6474733004047	c2.all.v2024.1.Hs.entrez
LU_EZH2_TARGETS_DN	0.170391061452514	7.9058407277743e-08	2.27432153803521e-05	4.6431481358124	c2.all.v2024.1.Hs.entrez
NUYTTEN_EZH2_TARGETS_UP	0.133976420150054	8.2670956997645e-08	2.27432153803521e-05	4.6431481358124	c2.all.v2024.1.Hs.entrez
WP_PROLACTIN_SIGNALING	0.304347826086957	1.23841978626293e-07	3.23661011139818e-05	4.48990961343852	c2.all.v2024.1.Hs.entrez
GOBP_ACTIN_FILAMENT_BASED_PROCESS	0.158319870759289	3.70912910467384e-09	3.23806970838026e-05	4.48971380609561	c5.all.v2024.1.Hs.entrez
DAVICIONI_TARGETS_OF_PAX_FOXO1_FUSIONS_UP	0.191489361702128	1.37642972231744e-07	3.4259991231206e-05	4.46521275252752	c2.all.v2024.1.Hs.entrez
GOCC_ACTIN_CYTOSKELETON	0.177835051546392	8.05510514653645e-09	3.48845835050849e-05	4.45736645779371	c5.all.v2024.1.Hs.entrez
GOBP_ACTIN_FILAMENT_ORGANIZATION	0.180555555555556	1.19878293831907e-08	3.48845835050849e-05	4.45736645779371	c5.all.v2024.1.Hs.entrez
