samples	x	y	Sample_Name	Cell_Line	Treatment	Treatment_Group	Replicate
GSM1275862	-1.14376427926127	0.204798383206521	N61311_untreated	N61311	Untreated	Control	1
GSM1275863	0.413039505876506	-0.371478600730671	N61311_Dex	N61311	Dexamethasone	Treated	1
GSM1275864	-1.19733321886174	0.316912453633386	N61311_Alb	N61311	Albuterol	Albuterol	1
GSM1275865	0.395158437613585	-0.310107930801817	N61311_Alb_Dex	N61311	Albuterol_Dexamethasone	Combination	1
GSM1275866	-0.596433042126294	0.16392787815251	N052611_untreated	N052611	Untreated	Control	2
GSM1275867	0.994669702115118	-0.35846643984064	N052611_Dex	N052611	Dexamethasone	Treated	2
GSM1275868	0.728616965120187	-0.292640561081433	N052611_Alb	N052611	Albuterol	Albuterol	2
GSM1275869	-0.396849898450039	0.130444197716346	N052611_Alb_Dex	N052611	Albuterol_Dexamethasone	Combination	2
GSM1275870	-1.12169521923557	-0.627018154630994	N080611_untreated	N080611	Untreated	Control	3
GSM1275871	0.363839535991278	-1.31269931546114	N080611_Dex	N080611	Dexamethasone	Treated	3
GSM1275872	0.330788715060295	-1.30544505368772	N080611_Alb	N080611	Albuterol	Albuterol	3
GSM1275873	-0.811910911898377	-0.706385506449823	N080611_Alb_Dex	N080611	Albuterol_Dexamethasone	Combination	3
GSM1275874	-0.317240948199729	1.39655671775882	N061011_untreated	N061011	Untreated	Control	4
GSM1275875	1.37665304288226	0.750887927383582	N061011_Dex	N061011	Dexamethasone	Treated	4
GSM1275876	-0.375042037367738	1.44265548008077	N061011_Alb	N061011	Albuterol	Albuterol	4
GSM1275877	1.35750365074153	0.8780585247523	N061011_Alb_Dex	N061011	Albuterol_Dexamethasone	Combination	4
