samples	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	Sample_Name	Cell_Line	Treatment	Treatment_Group	Replicate
GSM1275862	-51.1359380914564	-1.4639723590395	33.0880540096845	-1.761429479718	-17.9316611729352	2.57920654593902	-13.8740765610175	4.69027617959027	-0.0144499236226651	-11.6723507995131	10.3332070052789	2.40245698839241	-10.4407181972744	4.56317570688068	0.012745902494179	2.67841304690819e-14	N61311_untreated	N61311	Untreated	Control	1
GSM1275863	24.806150662588	7.70840766250677	60.3457436844726	4.89656149841433	-7.90855526892951	-0.5490273452822	9.85457828526457	-11.6438542751281	-1.50585817134762	-7.25982753423845	-12.6689680642267	3.37090863511246	-2.30688610761414	-6.56651882885489	3.63314109521537	2.06223926824123e-14	N61311_Dex	N61311	Dexamethasone	Treated	1
GSM1275864	-60.0191529897382	-7.77237772657134	33.0492837653975	7.04115303041788	4.20524646874677	2.52250659176386	-19.324468630816	15.6626506303661	-0.0562178639540968	9.64175020194696	-6.92366723497308	-6.66230599839426	6.40197700203466	-3.67554253851929	0.642484597769832	3.89410725887274e-14	N61311_Alb	N61311	Albuterol	Albuterol	1
GSM1275865	23.3141373264813	-5.45799215009373	55.5736200439542	9.50583942035087	8.04119858210927	-1.59212777645525	13.9859601042372	-3.71621564308358	0.285533378888478	9.66291074130524	10.6794637955929	2.73067380400336	7.10946715725249	6.51949379620534	-4.09398464484164	2.86992651865603e-14	N61311_Alb_Dex	N61311	Albuterol_Dexamethasone	Combination	1
GSM1275866	-24.9887638834173	-9.4169110334243	-28.0913482222967	14.6083161993144	-42.5714333007491	-5.28742364099899	13.6409915445541	-0.183257748471343	1.20926936523339	-6.66129104365231	-1.79402840515692	-6.73931551678123	8.49188714788843	3.88367522931715	1.22744712205857	2.27561025578638e-14	N052611_untreated	N052611	Untreated	Control	2
GSM1275867	56.4646697843794	-15.3320714200896	-18.7225874338572	19.0074879574484	-13.1462593936348	-9.9337831481076	-25.001265246822	-16.3147114179351	2.1903626773324	10.3573299215622	-1.34380881714817	1.27252866781947	-2.66759278296463	2.9487768184915	2.00063293746332	3.12805337188138e-14	N052611_Dex	N052611	Dexamethasone	Treated	2
GSM1275868	38.5675240376604	-19.8183522056006	-14.1758974138715	40.7865336883304	24.1581896039724	8.81279315329112	5.85857893816949	5.514135982391	-11.1686732373803	-5.50159825081117	2.31497323547489	-9.29578985862075	-5.31969389132289	-0.745989672108611	0.488439232902117	2.82465023593303e-14	N052611_Alb	N052611	Albuterol	Albuterol	2
GSM1275869	-23.9414181749164	-21.0065947137619	-29.8452765305909	28.8194283830745	1.48580166440003	8.3446832401829	5.1849012060305	7.6656467457578	9.91590819215695	0.8218532689976	-1.13876904030867	15.0945826787989	-0.254863840732401	-4.9611327015464	-3.26728701798403	3.3056890558214e-14	N052611_Alb_Dex	N052611	Albuterol_Dexamethasone	Combination	2
GSM1275870	-41.9609216429113	34.5246288745044	-17.2763260367776	-2.38487937067724	9.16320469332679	-33.7075492316634	6.68967613261622	2.60271974483433	-11.9479568285298	3.9107240071058	-4.84366278276489	3.33512384645322	-4.36379211262577	1.94440187223049	-3.15038479637314	3.3584246494911e-14	N080611_untreated	N080611	Untreated	Control	3
GSM1275871	34.9464818873946	60.2243630586739	-15.1449254392133	-10.2780195653827	-3.73860611201289	19.40204735946	-0.342817089565865	10.6985602585147	-7.25142788939772	3.51868370582027	-0.280938474946651	6.15901724571509	2.34024645730839	4.33330632757184	7.58113875689623	4.33264535359967e-14	N080611_Dex	N080611	Dexamethasone	Treated	3
